index,window_idx,stock_idx,ticker,score,start_date,end_date
443,162,24,AAPL,8.22833,2024-12-23,2024-12-26
444,162,26,WMT,8.22199,2024-12-23,2024-12-26
445,163,10,NVDA,7.89182,2024-12-27,2024-12-31
446,163,12,XOM,6.47572,2024-12-27,2024-12-31
447,164,10,NVDA,10.4509,2025-01-02,2025-01-06
448,165,1,BAC,10.2913,2025-01-07,2025-01-10
449,165,10,NVDA,10.1045,2025-01-07,2025-01-10
450,165,21,UNH,10.6739,2025-01-07,2025-01-10
451,165,28,JNJ,10.2552,2025-01-07,2025-01-10
452,166,2,LLY,11.1712,2025-01-13,2025-01-15
453,166,15,JPM,9.47716,2025-01-13,2025-01-15
454,166,21,UNH,10.865,2025-01-13,2025-01-15
455,167,2,LLY,9.85846,2025-01-16,2025-01-21
456,167,21,UNH,10.0317,2025-01-16,2025-01-21
457,167,24,AAPL,11.963,2025-01-16,2025-01-21
458,168,4,ABBV,9.89797,2025-01-22,2025-01-24
459,168,10,NVDA,9.40464,2025-01-22,2025-01-24
460,168,24,AAPL,9.65731,2025-01-22,2025-01-24
461,169,10,NVDA,13.7821,2025-01-27,2025-01-29
462,169,16,TSLA,11.0346,2025-01-27,2025-01-29
463,169,20,AVGO,12.4778,2025-01-27,2025-01-29
464,170,9,MSFT,10.9002,2025-01-30,2025-02-03
465,170,10,NVDA,10.0259,2025-01-30,2025-02-03
